fips,state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,lawsRank,grade2019,gunDeathRate
49,Utah,41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,27,30,13.14
18,Indiana,191.27287,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.05687,28,20,14.71
47,Tennessee,173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,29,20,17.82
33,New Hampshire,156.70245,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,30,10,10.66
45,South Carolina,178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,31,10,17.51
13,Georgia,191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,32,10,15.72
22,Louisiana,105.39265,4553384,4590241,4651664,4639834.8,4533372,-0.00803,-36857,0.00441,32,10,21.31
23,Maine,45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,34,10,10.32
30,Montana,7.82919,1139507,1122867,1087075,1077309,989415,0.01482,16640,0.1517,34,10,17.27
48,Texas,116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,34,10,12.22
54,West Virginia,73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,34,10,18.11
1,Alabama,100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,38,10,21.7
38,North Dakota,11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,39,10,11.36
5,Arkansas,58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,40,10,18.96
40,Oklahoma,59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,40,10,16.71
2,Alaska,1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,42,10,20.74
20,Kansas,35.91504,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,43,10,14.65
46,South Dakota,12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,44,10,13.5
4,Arizona,65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,45,10,15.29
21,Kentucky,114.42109,4518031,4512310,4507445,4490637.2,4339367,0.00127,5721,0.04117,46,10,16.81
29,Missouri,89.98998,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,46,10,21.34
16,Idaho,23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,48,10,16.61
56,Wyoming,6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,48,10,21.09
28,Mississippi,62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,50,10,22.81
